epoch,train_acc,validation_acc,time
1,87.414,87.667,418.9027168750763
2,82.222,81.936,428.26621866226196
3,82.835,82.386,445.20122480392456
4,81.454,80.577,451.7082371711731
5,82.597,82.775,433.0352976322174
6,97.375,95.81,447.0626263618469
7,97.397,95.432,439.4840929508209
8,97.69,95.355,432.88086199760437
9,86.839,85.047,444.16179370880127
10,98.58,95.762,462.47828459739685
11,96.775,93.489,448.9174268245697
12,98.035,94.576,469.81860613822937
13,96.771,93.723,461.31956219673157
14,98.848,95.535,485.3377149105072
15,98.979,95.785,474.1880159378052
16,99.402,96.053,457.1943097114563
17,99.49,95.935,449.20840549468994
18,95.331,92.926,451.21069836616516
19,99.408,95.864,456.85981845855713
20,99.524,96.062,453.2047266960144
21,81.077,79.861,440.23604583740234
22,89.264,86.924,509.7544162273407
23,90.041,88.385,452.7417438030243
24,96.508,93.36,453.06304144859314
25,94.584,91.419,470.990122795105
26,99.499,95.555,427.2065875530243
27,90.546,87.422,452.0172562599182
28,91.865,89.772,461.48781275749207
29,96.989,92.883,447.54572653770447
30,99.323,95.182,423.14819169044495
31,99.916,96.316,466.7236692905426
32,99.66,95.76,474.5823700428009
33,99.927,96.373,439.0964848995209
34,94.838,91.99,447.13440442085266
35,99.588,95.975,452.5233778953552
36,98.805,95.144,454.29535722732544
37,99.852,96.55,447.73531913757324
38,99.842,96.25,426.67745876312256
39,94.462,90.956,438.65591955184937
40,99.923,96.409,444.4255130290985
41,99.972,96.666,451.3806939125061
42,99.975,96.671,423.97500801086426
43,89.609,86.388,444.42721939086914
44,99.889,96.319,454.0475437641144
45,99.942,96.43,484.00737500190735
46,99.971,96.614,449.875203371048
47,99.852,96.175,445.1246829032898
48,99.913,96.321,448.91971158981323
49,99.98,96.675,487.3819754123688
50,99.986,96.839,436.93211126327515
51,99.988,96.866,457.5549294948578
52,99.987,96.873,446.3879659175873
53,99.985,96.889,437.11395955085754
54,99.987,96.848,434.7120659351349
55,99.988,96.853,454.2545964717865
56,99.988,96.83,467.6048650741577
57,99.989,96.839,462.15297055244446
58,99.986,96.782,439.8493604660034
59,99.986,96.725,435.1836359500885
60,99.985,96.75,439.86866307258606
61,99.989,96.73,439.2353324890137
62,99.986,96.75,443.5238444805145
63,99.986,96.757,449.06808733940125
64,99.988,96.739,452.3161859512329
65,99.987,96.775,459.0875623226166
66,99.988,96.73,424.03611397743225
67,99.986,96.798,488.56750559806824
68,99.986,96.741,462.62253880500793
69,99.993,96.728,427.9501359462738
70,99.993,96.755,449.1393163204193
71,99.989,96.805,478.6098816394806
72,99.986,96.803,434.5430574417114
73,99.985,96.759,430.5195105075836
74,99.991,96.794,450.16885232925415
75,99.987,96.809,442.69618678092957
76,99.989,96.809,467.1118960380554
77,99.99,96.789,454.0248420238495
78,99.992,96.725,438.60231137275696
79,99.993,96.782,434.8971381187439
80,99.995,96.803,449.477201461792
81,99.993,96.848,445.2195520401001
82,99.992,96.805,444.9006266593933
83,99.993,96.775,422.3159201145172
84,99.992,96.846,430.2939944267273
85,99.99,96.816,446.87721729278564
86,99.986,96.807,445.9019808769226
87,99.994,96.866,449.3226761817932
88,99.994,96.85,461.2193193435669
89,99.995,96.834,448.0047833919525
90,99.992,96.846,432.1111388206482
91,99.995,96.853,457.65806007385254
92,99.992,96.784,488.37533259391785
93,99.993,96.873,442.59945797920227
94,99.992,96.853,444.57478308677673
95,99.995,96.866,452.3778409957886
96,99.992,96.75,455.6434893608093
97,99.993,96.83,456.4651372432709
98,99.985,96.773,448.19569277763367
99,99.988,96.825,489.83026599884033
100,99.993,96.794,449.35933017730713
