epoch,train_acc,validation_acc,time
1,84.772,84.729,435.4840602874756
2,84.898,84.824,401.9943165779114
3,88.067,87.956,400.49625039100647
4,88.499,88.301,412.5526041984558
5,89.704,89.481,417.37724900245667
6,89.888,89.64,406.5356562137604
7,90.718,90.503,409.0555365085602
8,91.224,90.89,424.4664931297302
9,91.723,91.501,397.6649875640869
10,92.067,91.565,422.81795716285706
11,92.891,92.278,409.96151971817017
12,92.848,92.39,436.7887547016144
13,92.99,92.524,444.51093578338623
14,93.289,92.78,426.7433624267578
15,93.883,93.085,457.7744731903076
16,93.98,93.121,442.8385407924652
17,94.616,93.539,413.3285930156708
18,93.833,92.767,433.2371482849121
19,95.077,93.646,455.51377964019775
20,95.522,94.076,448.07360553741455
21,95.657,94.017,437.62366819381714
22,96.213,94.135,437.3729257583618
23,96.503,94.282,438.5979940891266
24,96.656,93.978,451.2192807197571
25,95.446,93.385,432.83628368377686
26,96.332,93.769,454.1520595550537
27,96.726,94.067,432.4580295085907
28,97.678,94.389,425.95979475975037
29,93.339,92.294,446.3382189273834
30,96.414,93.951,435.7926597595215
31,97.489,94.105,438.0273542404175
32,97.981,94.189,432.5487425327301
33,97.962,93.885,443.2311854362488
34,97.837,93.564,412.767520904541
35,98.003,93.714,424.8005301952362
36,98.681,94.055,429.38626646995544
37,98.812,94.098,461.2093758583069
38,98.868,94.294,431.59799671173096
39,98.989,94.164,420.2500214576721
40,99.183,94.428,423.76968026161194
41,99.28,94.342,409.53828382492065
42,99.021,94.082,436.0677390098572
43,99.122,94.178,440.37274289131165
44,99.364,94.321,435.5255024433136
45,99.283,94.028,428.3838310241699
46,99.593,94.578,442.5679678916931
47,99.438,94.223,449.31855607032776
48,99.491,94.251,417.55203104019165
49,99.583,94.432,425.99822759628296
50,99.294,94.014,413.51750111579895
51,99.903,94.728,420.91485023498535
52,99.923,94.819,421.4052267074585
53,99.937,94.803,429.10746216773987
54,99.955,94.885,421.54762744903564
55,99.948,94.86,426.0687167644501
56,99.949,94.869,423.27809619903564
57,99.962,94.905,424.4356257915497
58,99.961,94.857,431.95628333091736
59,99.958,94.912,432.7038953304291
60,99.965,94.905,436.16393280029297
61,99.967,94.896,427.33038806915283
62,99.955,94.86,422.22216391563416
63,99.972,94.889,427.40950536727905
64,99.967,94.912,463.0509226322174
65,99.964,94.939,441.89264154434204
66,99.968,94.801,438.0583562850952
67,99.973,94.866,447.3830268383026
68,99.974,94.885,413.4287168979645
69,99.969,94.907,417.52407908439636
70,99.964,94.921,399.1081156730652
71,99.969,94.948,412.68815755844116
72,99.97,94.88,442.6021251678467
73,99.961,94.876,436.03935647010803
74,99.981,94.923,436.76925563812256
75,99.973,94.937,428.0485260486603
76,99.97,94.953,436.8127143383026
77,99.972,94.941,424.1438512802124
78,99.974,94.937,434.5665650367737
79,99.979,94.919,432.07161808013916
80,99.978,94.932,448.14948415756226
81,99.98,94.919,436.13484597206116
82,99.973,94.91,420.04383301734924
83,99.975,94.923,449.99783849716187
84,99.976,94.916,429.3824918270111
85,99.981,94.928,426.2584629058838
86,99.975,94.928,451.10709142684937
87,99.977,94.93,425.774831533432
88,99.984,94.951,423.3247539997101
89,99.978,94.951,417.9325306415558
90,99.979,94.955,435.56091570854187
91,99.98,94.953,437.0311653614044
92,99.978,94.971,422.5508873462677
93,99.979,94.976,437.6113033294678
94,99.978,94.989,426.0782358646393
95,99.983,94.982,399.7050893306732
96,99.983,94.98,425.0363461971283
97,99.979,94.951,431.29813623428345
98,99.977,94.964,415.35763692855835
99,99.979,94.969,440.9905512332916
100,99.976,94.98,447.7456212043762
